                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.856,                 1.1664,                 1.0333,                0.00667,                      1,                0.01078,                0.00418,                 1.9554,                 3.7118,                  1.237,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.5264,                 1.1354,                0.95576,                0.00667,                      1,                0.01069,                0.00416,                 1.9174,                 3.7182,                 1.2498,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.5763,                 1.2031,                 1.0601,                0.00667,                      1,                0.01069,                0.00416,                 1.9174,                 3.7182,                 1.2498,             0.00050262,             0.00050262,             0.00050262
                     49,                 1.6744,                 1.3402,                 1.0621,                0.00667,                      1,                0.01024,                0.00287,                 2.1469,                 3.7897,                 1.3394,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.5844,                  1.126,                0.96949,                0.00667,                      1,                0.01024,                0.00287,                 2.1469,                 3.7897,                 1.3394,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.5465,                 1.1363,                 1.0045,                0.00556,                0.83333,                0.00766,                0.00221,                 2.2639,                 3.9305,                 1.4489,               0.000505,               0.000505,               0.000505
                     52,                 1.4483,                 1.0549,                0.90631,                0.00556,                0.83333,                0.00766,                0.00221,                 2.2639,                 3.9305,                 1.4489,               0.000505,               0.000505,               0.000505
                     53,                 1.4003,                  1.032,                0.97934,                0.00556,                0.83333,                0.00766,                0.00221,                 2.2639,                 3.9305,                 1.4489,             0.00050461,             0.00050461,             0.00050461
                     54,                 1.6444,                 1.0921,                 1.0045,                0.00556,                0.83333,                0.00773,                0.00238,                 2.2677,                 3.8154,                 1.4941,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.6012,                 1.0674,                0.93934,                0.00556,                0.83333,                0.00773,                0.00238,                 2.2677,                 3.8154,                 1.4941,             0.00050263,             0.00050263,             0.00050263
                     56,                 1.5618,                 1.1563,                0.94419,                0.00556,                0.83333,                0.00773,                0.00238,                 2.2677,                 3.8154,                 1.4941,             0.00050105,             0.00050105,             0.00050105
                     57,                 1.4662,                 1.1413,                0.97092,                0.00667,                      1,                0.01066,                0.00232,                 2.2401,                 3.7815,                 1.5857,             0.00049907,             0.00049907,             0.00049907
                     58,                 1.5153,                 1.2923,                0.98142,                0.00667,                      1,                0.01066,                0.00232,                 2.2401,                 3.7815,                 1.5857,              0.0004967,              0.0004967,              0.0004967
                     59,                 1.4986,                 1.1424,                0.96548,                0.00667,                      1,                0.01066,                0.00232,                 2.2401,                 3.7815,                 1.5857,             0.00049393,             0.00049393,             0.00049393
                     60,                 1.3402,                0.95459,                0.96377,                0.00667,                      1,                0.01082,                0.00339,                 2.1266,                 3.6439,                 1.5332,             0.00049076,             0.00049076,             0.00049076
                     61,                 1.4427,                 1.0514,                0.93042,                0.00667,                      1,                0.01082,                0.00339,                 2.1266,                 3.6439,                 1.5332,              0.0004872,              0.0004872,              0.0004872
                     62,                 1.4668,                 1.1472,                0.97652,                0.00667,                      1,                0.01082,                0.00339,                 2.1266,                 3.6439,                 1.5332,             0.00048324,             0.00048324,             0.00048324
                     63,                 1.2791,                 1.0102,                0.94007,                0.00667,                      1,                0.01091,                 0.0035,                 2.0747,                 3.5456,                 1.4855,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.3348,                 0.9764,                 1.0051,                0.00667,                      1,                0.01091,                 0.0035,                 2.0747,                 3.5456,                 1.4855,             0.00047414,             0.00047414,             0.00047414
                     65,                  1.402,                 1.1719,                0.98009,                0.00667,                      1,                0.01091,                 0.0035,                 2.0747,                 3.5456,                 1.4855,             0.00046899,             0.00046899,             0.00046899
                     66,                  1.386,                 1.0346,                0.93756,                0.00667,                      1,                0.01825,                0.00589,                 2.0277,                 3.4436,                 1.4357,             0.00046345,             0.00046345,             0.00046345
                     67,                 1.2752,                0.94362,                0.95597,                0.00667,                      1,                0.01825,                0.00589,                 2.0277,                 3.4436,                 1.4357,             0.00045751,             0.00045751,             0.00045751
                     68,                  1.273,                 0.9082,                 0.9197,                0.00667,                      1,                0.01825,                0.00589,                 2.0277,                 3.4436,                 1.4357,             0.00045118,             0.00045118,             0.00045118
                     69,                 1.3001,                 1.0121,                0.92367,                0.00667,                      1,                0.01445,                0.00546,                 1.9619,                 3.4615,                 1.3946,             0.00044445,             0.00044445,             0.00044445
                     70,                 1.2991,                0.89106,                0.93579,                0.00667,                      1,                0.01445,                0.00546,                 1.9619,                 3.4615,                 1.3946,             0.00043732,             0.00043732,             0.00043732
                     71,                 1.3489,                0.90576,                0.91059,                0.00667,                      1,                0.01445,                0.00546,                 1.9619,                 3.4615,                 1.3946,              0.0004298,              0.0004298,              0.0004298
                     72,                 1.4161,                0.96589,                0.99098,                0.00667,                      1,                0.01516,                0.00669,                 2.0259,                 3.4378,                 1.4166,             0.00042188,             0.00042188,             0.00042188
                     73,                 1.1464,                 0.9235,                0.90135,                0.00667,                      1,                0.01516,                0.00669,                 2.0259,                 3.4378,                 1.4166,             0.00041357,             0.00041357,             0.00041357
                     74,                 1.3848,                0.92502,                0.94911,                0.00667,                      1,                0.01516,                0.00669,                 2.0259,                 3.4378,                 1.4166,             0.00040486,             0.00040486,             0.00040486
                     75,                 1.2669,                 1.0396,                0.91948,                0.00667,                      1,                0.06077,                0.02403,                 2.0748,                 3.3574,                 1.5205,             0.00039575,             0.00039575,             0.00039575
                     76,                 1.2595,                0.88775,                0.88819,                0.00667,                      1,                0.06077,                0.02403,                 2.0748,                 3.3574,                 1.5205,             0.00038625,             0.00038625,             0.00038625
                     77,                 1.4505,                0.93481,                 1.0007,                0.00667,                      1,                0.06077,                0.02403,                 2.0748,                 3.3574,                 1.5205,             0.00037635,             0.00037635,             0.00037635
                     78,                 1.4824,                  1.032,                 1.0465,                0.00667,                      1,                 0.7166,                0.27552,                 2.1403,                 3.2432,                 1.5657,             0.00036606,             0.00036606,             0.00036606
                     79,                 1.4462,                 1.2534,                0.89242,                0.00667,                      1,                 0.7166,                0.27552,                 2.1403,                 3.2432,                 1.5657,             0.00035537,             0.00035537,             0.00035537
                     80,                 1.2494,                0.87652,                0.88652,                0.00667,                      1,                 0.7166,                0.27552,                 2.1403,                 3.2432,                 1.5657,             0.00034428,             0.00034428,             0.00034428
                     81,                 1.6228,                 1.1313,                 1.0618,                0.00667,                      1,                0.83677,                0.38063,                 1.9121,                 3.1132,                 1.4579,              0.0003328,              0.0003328,              0.0003328
                     82,                 1.3238,                0.94187,                0.96924,                0.00667,                      1,                0.83677,                0.38063,                 1.9121,                 3.1132,                 1.4579,             0.00032092,             0.00032092,             0.00032092
                     83,                 1.6493,                0.92574,                0.97563,                0.00667,                      1,                0.83677,                0.38063,                 1.9121,                 3.1132,                 1.4579,             0.00030865,             0.00030865,             0.00030865
                     84,                  1.403,                 1.0748,                 1.0491,                0.00667,                      1,                0.83674,                 0.4185,                 1.7861,                 3.0368,                 1.4246,             0.00029598,             0.00029598,             0.00029598
                     85,                 1.4547,                  1.074,                 1.0622,                0.00667,                      1,                0.83674,                 0.4185,                 1.7861,                 3.0368,                 1.4246,             0.00028291,             0.00028291,             0.00028291
